日期,点击次数,展示,点击率,排名
2025-10-04,0,25,0%,24.8
2025-10-05,0,22,0%,15
2025-10-06,0,22,0%,16
2025-10-07,0,41,0%,7.4
2025-10-08,0,14,0%,6.1
2025-10-09,0,17,0%,14.8
2025-10-10,0,32,0%,6.1
2025-10-11,0,16,0%,19.2
2025-10-12,0,16,0%,17.9
2025-10-13,0,12,0%,13.2
2025-10-14,0,33,0%,9.3
2025-10-15,1,22,4.55%,13.5
2025-10-16,0,56,0%,14.4
2025-10-17,0,55,0%,24.6
2025-10-18,0,37,0%,25.9
2025-10-19,1,43,2.33%,15.5
2025-10-20,0,46,0%,17.5
2025-10-21,0,48,0%,13.5
2025-10-22,0,45,0%,20
2025-10-23,0,54,0%,21.9
2025-10-24,2,47,4.26%,18.3
2025-10-25,0,45,0%,35
2025-10-26,1,84,1.19%,25.7
2025-10-27,0,72,0%,32
2025-10-28,0,47,0%,23.1
2025-10-29,1,62,1.61%,21.2
2025-10-30,0,63,0%,22.4
2025-10-31,0,51,0%,21.6
2025-11-01,1,52,1.92%,28
2025-11-02,0,68,0%,24.2
2025-11-03,1,53,1.89%,22.6
2025-11-04,0,78,0%,12.5
2025-11-05,0,66,0%,18.4
2025-11-06,0,70,0%,17.5
2025-11-07,2,75,2.67%,24.9
2025-11-08,2,46,4.35%,25.2
2025-11-09,0,59,0%,33.3
2025-11-10,1,52,1.92%,28.8
2025-11-11,0,64,0%,30.5
2025-11-12,0,48,0%,28.6
2025-11-13,0,44,0%,33.8
2025-11-14,1,49,2.04%,27
2025-11-15,1,43,2.33%,40.3
2025-11-16,0,38,0%,27.5
2025-11-17,0,64,0%,33.8
2025-11-18,0,97,0%,28.5
2025-11-19,1,81,1.23%,43
2025-11-20,2,70,2.86%,39.9
2025-11-21,0,54,0%,31.5
2025-11-22,0,56,0%,21.1
2025-11-23,0,58,0%,36.8
2025-11-24,1,69,1.45%,35.1
2025-11-25,0,68,0%,29.4
2025-11-26,0,78,0%,49.6
2025-11-27,0,86,0%,46.3
2025-11-28,0,51,0%,24.4
2025-11-29,0,52,0%,22.4
2025-11-30,0,58,0%,29.8
2025-12-01,1,79,1.27%,25.8
2025-12-02,0,81,0%,14.8
2025-12-03,1,90,1.11%,26.9
2025-12-04,2,94,2.13%,18.1
2025-12-05,0,95,0%,35.6
2025-12-06,1,66,1.52%,32.8
2025-12-07,0,74,0%,29.3
2025-12-08,0,82,0%,24.5
2025-12-09,0,102,0%,22.8
2025-12-10,0,278,0%,47
2025-12-11,0,122,0%,26.8
2025-12-12,1,99,1.01%,28.8
2025-12-13,0,70,0%,18.3
2025-12-14,2,94,2.13%,19.2
2025-12-15,0,206,0%,13.2
2025-12-16,0,101,0%,27.8
2025-12-17,0,91,0%,18.2
2025-12-18,0,210,0%,12.1
2025-12-19,0,102,0%,21.8
2025-12-20,1,86,1.16%,22.3
2025-12-21,0,113,0%,16.3
2025-12-22,0,81,0%,25
2025-12-23,0,87,0%,37.6
2025-12-24,1,111,0.9%,32.3
2025-12-25,1,112,0.89%,38.5
2025-12-26,0,136,0%,22.2
2025-12-27,0,83,0%,30.5
2025-12-28,1,102,0.98%,32.9
2025-12-29,0,112,0%,31.2
2025-12-30,0,135,0%,34.8
2025-12-31,0,91,0%,34.9
2026-01-01,0,82,0%,19.4
2026-01-02,0,107,0%,16.6
2026-01-03,0,83,0%,17
