排名靠前的网页,点击次数,展示,点击率,排名
https://chinactscanner.org/blog/first-ct-scanner,10,2417,0.41%,30.13
https://chinactscanner.org/,7,1450,0.48%,25.77
https://chinactscanner.org/blog/battle-for-domestic-ct-market-united-imaging-neusoft-mingfeng,5,738,0.68%,13.25
https://chinactscanner.org/blog/ct-scanner-development-timeline,3,502,0.6%,19.54
https://chinactscanner.org/blog/mri-development-timeline,3,146,2.05%,8.31
https://chinactscanner.org/ct-scanner,1,1056,0.09%,34.09
https://chinactscanner.org/mri-scanner,1,253,0.4%,33.17
https://chinactscanner.org/de/,1,73,1.37%,30.7
https://chinactscanner.org/privacy,0,100,0%,5.92
https://chinactscanner.org/brands-catalog,0,29,0%,34.14
https://chinactscanner.org/device-catalog,0,9,0%,9.67
https://chinactscanner.org/terms,0,7,0%,3.71
https://chinactscanner.org/catalog,0,7,0%,7.14
https://chinactscanner.org/device-az,0,7,0%,12.43
