国家/地区,点击次数,展示,点击率,排名
美国,12,5546,0.22%,25.97
英国,2,1558,0.13%,22.54
印度,2,301,0.66%,25.96
德国,1,316,0.32%,36
中国,1,156,0.64%,5.96
巴西,1,156,0.64%,8.32
意大利,1,90,1.11%,15.86
菲律宾,1,85,1.18%,20.54
法国,1,82,1.22%,9.88
波兰,1,40,2.5%,6.65
泰国,1,38,2.63%,26.71
沙特阿拉伯,1,34,2.94%,11.82
台湾,1,30,3.33%,8.17
孟加拉,1,28,3.57%,13.32
肯尼亚,1,16,6.25%,5.12
希腊,1,13,7.69%,4.08
伊朗,1,12,8.33%,7.42
尼加拉瓜,1,5,20%,6.4
加拿大,0,181,0%,9.38
新加坡,0,125,0%,7.04
日本,0,97,0%,14.35
西班牙,0,84,0%,10.45
荷兰,0,80,0%,7.33
韩国,0,75,0%,9.01
澳大利亚,0,65,0%,15.49
越南,0,57,0%,15.04
墨西哥,0,53,0%,6.4
巴基斯坦,0,48,0%,6.62
印度尼西亚,0,48,0%,12.02
土耳其,0,46,0%,13.02
阿尔及利亚,0,45,0%,10.29
摩洛哥,0,41,0%,8.39
伊拉克,0,41,0%,10.68
埃及,0,40,0%,11.8
中国香港,0,38,0%,9.24
尼日利亚,0,37,0%,17.49
乌兹别克斯坦,0,36,0%,7.28
阿根廷,0,35,0%,11.63
奥地利,0,28,0%,6.86
埃塞俄比亚,0,27,0%,7.81
特立尼达和多巴哥,0,26,0%,9.46
南非,0,25,0%,7.24
罗马尼亚,0,25,0%,7.56
尼泊尔,0,24,0%,5.25
阿拉伯联合酋长国,0,24,0%,7.96
以色列,0,23,0%,9.39
葡萄牙,0,23,0%,12.3
丹麦,0,22,0%,7.09
塞舌尔,0,19,0%,6.11
智利,0,19,0%,7.79
马来西亚,0,19,0%,12.26
瑞典,0,19,0%,14.37
牙买加,0,18,0%,5.61
瑞士,0,18,0%,6.67
约旦,0,18,0%,7
比利时,0,17,0%,6.65
爱尔兰,0,17,0%,6.76
加纳,0,16,0%,6.31
挪威,0,16,0%,7.62
哥伦比亚,0,16,0%,14.06
塞尔维亚,0,15,0%,7.87
